id,title,subtitle,authors,publisher,published_date,category,distribution_expense
9783030000000,Algorithmic Governance and Governance of Algorithms,Legal and Ethical Challenges,"Martin Ebers, Marta Cantero Gamito",Springer Nature,8/10/20,data science,3.19
9781490000000,Fundamentals of Data Visualization,A Primer on Making Informative and Compelling Figures,Claus O. Wilke,O'Reilly Media,18/3/19,data science,6.9
9781450000000,Building Data Science Teams,,DJ Patil,"""O'Reilly Media, Inc.""",15/9/11,data science,7.3
9781620000000,Build a Career in Data Science,,"Emily Robinson, Jacqueline Nolis",Manning Publications,24/3/20,data science,4.55
9780430000000,Data Science,"Theory, Analysis and Applications","Qurban A Memon, Shakeel Ahmed Khoja",CRC Press,26/9/19,data science,5.6
9781000000000,A Tour of Data Science,Learn R and Python in Parallel,Nailong Zhang,CRC Press,11/11/20,data science,4.22
9783320000000,The Data Science Design Manual,,Steven S. Skiena,Springer,1/7/17,data science,3.19
9781490000000,Agile Data Science 2.0,Building Full-Stack Data Analytics Applications with Spark,Russell Jurney,"""O'Reilly Media, Inc.""",7/6/17,data science,6.9
9781490000000,Data Science at the Command Line,,Jeroen Janssens,"""O'Reilly Media, Inc.""",17/8/21,data science,7.3
9781480000000,The Decision Maker's Handbook to Data Science,"A Guide for Non-Technical Executives, Managers, and Founders",Stylianos Kampakis,Apress,26/11/19,data science,4.55
9781490000000,Deep Learning for Coders with fastai and PyTorch,,"Jeremy Howard, Sylvain Gugger","""O'Reilly Media, Inc.""",29/6/20,data science,5.6
9781490000000,Python for Data Analysis,"Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney,"""O'Reilly Media, Inc.""",25/9/17,data science,4.22
9781840000000,Data Science Projects with Python,"A case study approach to successful data science projects using Python, pandas, and scikit-learn",Stephen Klosterman,Packt Publishing Ltd,30/4/19,data science,3.19
9780260000000,Data Science,,"John D. Kelleher, Brendan Tierney",MIT Press,13/4/18,data science,6.9
9781490000000,Learning to Love Data Science,"Explorations of Emerging Technologies and Platforms for Predictive Analytics, Machine Learning, Digital Manufacturing and Supply Chain Optimization",Mike Barlow,"""O'Reilly Media, Inc.""",27/10/15,data science,7.3
9781450000000,Introduction to Machine Learning with Python,A Guide for Data Scientists,"Andreas C. Müller, Sarah Guido","""O'Reilly Media, Inc.""",26/9/16,data science,4.55
9789390000000,Practical Data Science with Jupyter,"Explore Data Cleaning, Pre-processing, Data Wrangling, Feature Engineering and Machine Learning using Python and Jupyter (English Edition)",Prateek Gupta,BPB Publications,1/3/21,data science,5.6
9781800000000,Handbook of Research on Applied Data Science and Artificial Intelligence in Business and Industry,,"Chkoniya, Valentina",IGI Global,25/6/21,data science,4.22
9781450000000,Bad Data Handbook,Cleaning Up The Data So You Can Get Back To Work,Q. Ethan McCallum,"""O'Reilly Media, Inc.""",7/11/12,data science,3.19
9781620000000,Data Science Bookcamp,Five Real-world Python Projects,Leonard Apeltsin,Simon and Schuster,30/11/21,data science,6.9
367428199,R for Health Data Science,,"Ewen Harrison, Riinu Pius",CRC Press,17/11/20,data science,7.3
1617291560,Practical Data Science with R,,"Nina Zumel, John Mount",Manning Publications,10/4/14,data science,4.55
9780600000000,Head First Statistics,,Dawn Griffiths,"""O'Reilly Media, Inc.""",26/8/08,data science,5.6
9781540000000,Data Science for Business With R,,"Jeffrey S. Saltz, Jeffrey M. Stanton",SAGE Publications,14/2/21,data science,4.55
9781850000000,Big Data,"The Essential Guide to Work, Life and Learning in the Age of Insight","Viktor Mayer-Schonberger, Kenneth Cukier",Hachette UK,14/3/13,data science,5.6
9781000000000,Data Science and Its Applications,,"Aakanksha Sharaff, G R Sinha",CRC Press,18/8/21,data science,4.22
9781110000000,Data-Driven Science and Engineering,"Machine Learning, Dynamical Systems, and Control","Steven L. Brunton, J. Nathan Kutz",Cambridge University Press,28/2/19,data science,3.19
9781680000000,A Common-Sense Guide to Data Structures and Algorithms,Level Up Your Core Programming Skills,Jay Wengrow,Pragmatic Bookshelf,3/8/17,data science,6.9
9781000000000,Public Policy Analytics,Code and Context for Data Science in Government,Ken Steif,CRC Press,19/8/21,data science,7.3
1484268695,Data Science Revealed,"With Feature Engineering, Data Visualization, Pipeline Development, and Hyperparameter Tuning",Tshepo Chris Nokeri,Apress,21/3/21,data science,4.55
9781110000000,Data-Driven Science and Engineering,"Machine Learning, Dynamical Systems, and Control","Steven L. Brunton, J. Nathan Kutz",Cambridge University Press,28/2/19,data science,5.6
1633430278,Think Like a Data Scientist,Tackle the Data Science Process Step-by-step,Brian Godsey,Manning Publications,28/2/17,data science,4.22
9781490000000,High Performance Python,Practical Performant Programming for Humans,"Micha Gorelick, Ian Ozsvald",O'Reilly Media,30/4/20,data science,3.19
9781000000000,Physics of Data Science and Machine Learning,,Ijaz A. Rauf,CRC Press,17/11/21,data science,6.9
128112166,Data Science for Business and Decision Making,,"Luiz Paulo Fávero, Patrícia Belfiore",Academic Press,8/3/19,data science,7.3
9780530000000,Learning How to Learn,How to Succeed in School Without Spending All Your Time Studying; A Guide for Kids and Teens,"Barbara Oakley, PhD, Terrence Sejnowski, PhD, Alistair McConville",Penguin,7/8/18,data science,4.55
1727287320,Heard in Data Science Interviews,Over 650 Most Commonly Asked Interview Questions and Answers,Kal Mishra,Createspace Independent Publishing Platform,3/10/18,data science,5.6
9781120000000,Responsible Data Science,,"Peter C. Bruce, Grant Fleming",John Wiley & Sons,13/4/21,data science,4.22
9783030000000,Guide to Industrial Analytics,Solving Data Science Problems for Manufacturing and the Internet of Things,"Richard Hill, Stuart Berry",Springer Nature,27/9/21,data science,3.19
1484251032,Practical DataOps,Delivering Agile Data Science at Scale,Harvinder Atwal,Apress,10/12/19,data science,6.9
9781110000000,Mining of Massive Datasets,,"Jure Leskovec, Anand Rajaraman, Jeffrey David Ullman",Cambridge University Press,13/11/14,data science,7.3
1498740006,The Essentials of Data Science: Knowledge Discovery Using R,,Graham Williams,CRC Press,10/7/17,data science,4.55
9781390000000,The Anarchist Cookbook,,William Powell,"Lulu Press, Inc",11/3/18,data science,5.6
9781450000000,Agile Data Science,Building Data Analytics Applications with Hadoop,Russell Jurney,"""O'Reilly Media, Inc.""",15/10/13,data science,4.22
9780130000000,Predictive Analytics and Data Mining,Concepts and Practice with RapidMiner,"Vijay Kotu, Bala Deshpande",Morgan Kaufmann,27/11/14,data science,3.19
9781120000000,Storytelling with Data,A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,John Wiley & Sons,9/10/15,data science,6.9
9781650000000,Data Science Uncovering the Reality,IITians uncover how Data Science is transforming some of the world's biggest companies,"Pulkit Bansal, Kunal Kishore, Pankaj Gupta, Srijan Saket, Neeraj Kumar",Notion Press,15/4/20,data science,7.3
